Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
VERACRUZ,2503308.69,2611509.82,-4.143240403361757,0.061180445076949225,297.75,278.25,7.008086253369273,0.2934191335882376,104,77.0,35.064935064935064,0.23950992584404218,149,140.0,6.428571428571428,0.25358249089485685,0,0.0,0.0,0.0,MEXICO
JEBEL ALI,2380036.65,4640840.07,-48.715391737255025,0.058167697067536335,246.25,241.75,1.861427094105481,0.24266821711537703,95,76.0,25.0,0.21878310533830778,130,122.0,6.557377049180328,0.22124646856598248,0,0.0,0.0,0.0,UNITED ARAB EMIRATES
BILBAO,2319092.6,1080952.91,114.54150116493051,0.056678234693724246,92.0,57.0,61.40350877192983,0.09066183136899365,11,8.0,37.5,0.02533278061811985,90,46.0,95.65217391304348,0.15317063208414172,0,0.0,0.0,0.0,SPAIN
PERAWANG,1989283.24,0.0,0.0,0.0486177491787142,154.0,0.0,0.0,0.15176002207418504,11,0.0,0.0,0.02533278061811985,77,0.0,0.0,0.1310459852275435,0,0.0,0.0,0.0,INDONESIA
PUERTO BARRIOS,1782179.08,9929170.37,-82.05107764708443,0.0435561581984633,156.5,659.5,-76.26990144048523,0.15422365879616856,36,67.0,-46.26865671641791,0.08290728202293769,89,331.0,-73.1117824773414,0.15146873617209572,0,2.0,-100.0,0.0,GUATEMALA
PORT OF SPAIN,1766175.81,1849081.09,-4.483593523743192,0.04316504096022665,244.0,255.75,-4.594330400782014,0.24045094406559184,27,25.0,8.0,0.06218046151720326,110,126.0,-12.698412698412698,0.18720855032506212,0,0.0,0.0,0.0,TRINIDAD AND TOBAGO
ITAPOA,1733212.63,1756966.41,-1.3519768997746535,0.04235942636239149,137.0,160.0,-14.374999999999998,0.13500729236469708,57,65.0,-12.307692307692308,0.13126986320298467,70,65.0,7.6923076923076925,0.11913271384322134,0,0.0,0.0,0.0,BRAZIL
JIUJIANG,1635249.41,737081.22,121.85471093674045,0.039965221674526534,214.0,65.0,229.23076923076923,0.2108873034017896,86,24.0,258.33333333333337,0.19805628483257334,108,41.0,163.41463414634146,0.18380475850097008,0,0.0,0.0,0.0,CHINA
GEBZE,1582192.26,633752.51,149.6545946618815,0.038668513815650986,66.0,39.0,69.23076923076923,0.065040009460365,23,16.0,43.75,0.052968541292432406,64,30.0,113.33333333333333,0.10892133837094524,0,0.0,0.0,0.0,TURKEY
SAMSUN,1563445.0,721590.0,116.66666666666667,0.03821033392143535,65.0,30.0,116.66666666666667,0.06405455477157161,12,9.0,33.33333333333333,0.02763576067431256,65,30.0,116.66666666666667,0.11062323428299124,0,0.0,0.0,0.0,TURKEY
